"uri","diet_label"
"b3ce18c4a415f62086a858c54f2c3f19","Balanced"
"86ff24db234446dd12a6261a6d1e077e","Balanced"
"a58812772195b463848117996db57eb5","Balanced"
"12f07fca0e5a4346cd1dcfc75baa97a5","Balanced"
"ab101c90db097a98865d0fad437832e3","Balanced"
"d85c39afd929b14206cd2c42fd6eac9b","Low-Fat"
"8551a35879e92bfb0974b3236f489e17","Balanced"
"d46b579cf07b00f594512b7121d93d2a","Balanced"
"52f11e7f8841516d57f4c452f69095b4","Balanced"
"c75fed864ac7e5f3dea42b880d5ddfab","Balanced"
"432572b1569c50fe1d3d5959671be29a","Balanced"
"10dc1f9a52e508348b2647714ece6f97","Balanced"
"2eee81164f949a2e4521c8501bb64ce0","Balanced"
"90c2022160e67f9e51561c4a8afb676c","Balanced"
"05a5b79820cc5e5a4563242a0f94b314","Balanced"
"d62f80ed36e09f3f41a64f706ebb2bce","Low-Carb"
"6fa5ca6edb4ade0356144fc598941c4b","Balanced"
"eeec753e05af7dfb0cd5f5e393532c8e","Balanced"
"9f78cf6e75117f05817557856b26d642","Low-Fat"
"b485883283d8abe38f6505022996d023","Balanced"
"b767a6d3dd2449a7db0bfc9fa48b4d5d","Balanced"
"ed1931142e99bb9e1510d556d24a4196","Balanced"
"06d4762223d1e004dfcc4a43709aadb4","Balanced"
"d946cad105faa8534a628fda7455b151","Balanced"
"82d9d63c4d7fcd32c6c7be6805d206c1","Balanced"
"18ffc88b29b889a6705fe57091a06cab","Low-Fat"
"d5ca243b98c90b086dca1e7837bb6b6a","Balanced"
"ee390f695d06b9c1d55e30c0a3c399e4","Balanced"
"421540bf23efe51f52ac9b362d4f435a","Balanced"
"6cb2d678adf1876087287d16d194eaf8","Balanced"
"ceb8595ffab275584b159b4f39c1c45d","Balanced"
"fc1f79694cf132da00479d4f18385c58","Low-Fat"
"8b9211881b356b8811e24985232ec26b","Balanced"
"b5cd00d2a7a41526bf2b3e8c5439b1f9","Balanced"
"209fb5d8b3ad2714a9dfa9600de4e43d","Balanced"
"c3292fbc22e5ae824e4aea77cf5b8380","Balanced"
"955c3a806120ecb40af9054cc549c797","Balanced"
"44cf739221593294d82fa793de63470f","Balanced"
"c4e3fe762b484bc2e9557b97ebde7943","Balanced"
"1b8fef6d3c61b58e8901565c1b4d3bd0","Low-Fat"
"5aa1f1c2f64103b78bb6464a2350b611","Balanced"
"b56746967f751b506b5cb77b4be8de66","Low-Fat"
"39f458dae7d62bf099903e950aecc5f1","Balanced"
"bd834f3c192ef437cf8c47a058f30e1a","Balanced"
"3375419fbabcab599d41be90ba740b03","Low-Fat"
"f8875cb53ff631bf0083d899b8f6c2e4","Low-Fat"
"3c72f9d8979de994b9f840493504efe9","Balanced"
"bf64dd8e27a1edbd868efbcd246cf9e6","Balanced"
"5ee26919efde098a46af5d865280a88c","Balanced"
"447f0530ca39e5c93f42fb0fea5abcff","Low-Fat"
"26a44cdfe28314f619c4a1fa832b9dfc","Balanced"
"5d0c54385f867b726cd13ee3eb608a61","Balanced"
"c7e772a20063822ee6e4bbad2aa436db","Low-Fat"
"54f1dfa1a6717bfe1b46dad2c1e26ac1","Low-Fat"
"12f6545162a79407ce47d359000e7a3e","Balanced"
"6224fa1f68427e2dc093de87b9f317d0","Balanced"
"8d4034f227ca4003ace26c132043f0b7","Balanced"
"87163b066b05e3561fc900069b1da854","Balanced"
"b5aa6fae9c393b46b5a0f76b1c50edf2","Low-Carb"
"37216b85fd444c6625df511fadee1a89","Balanced"
"b35cc5ad847dd6bb6236e41d0833872c","Balanced"
"c21146b24e21fdb389386a62ced0c9dd","Balanced"
"58e0d4da055011b346f96e49eda868e1","Balanced"
"58a294b85420c1d12ecaa9381b574111","Balanced"
"62daac957ac2444e4db2e0f082adccf9","Balanced"
"ac866a8bec8493955eb586c1431fe8ee","Balanced"
"59b719ae11b5f53b88a6afc2e88d49a8","Balanced"
"7f93dfa7615fe11e817c3f633073b114","Balanced"
"be3dafd44f3b80729f06a8381d29d768","Balanced"
"a72ea6fc501dc036d2c9ebea9b934b13","Low-Fat"
"4a4180d03199d82d6fca84ea09a948de","Balanced"
"25f6dfb90278a77a7dcdb2268d8fc0b5","Balanced"
